asn,org,country,total_prefixes,signal_count,source_count,vpn_signals,tor_signals,malware_signals,drop_list_signals,phishing_signals,public_feed_signals,public_feed_overlap,signal_density,confidence,sources
212238,CDNEXT,GB,0,5244,3,5225,11,0,0,0,8,3,5244.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
9009,M247,RO,0,4922,3,4861,52,0,0,0,9,3,4922.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
62651,NETPROTECT-62651,US,0,3011,1,3011,0,0,0,0,0,1,3011.0000,low,asn-vpn-multi-provider
62240,CLOUVIDER Clouvider - Global ASN,GB,0,2317,3,2305,4,0,0,0,8,3,2317.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
60068,CDN77 _,GB,0,1225,2,1217,0,0,0,0,8,2,1225.0000,low,"asn-vpn-multi-provider,bad-cidrs-v4"
137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,AU,0,1098,1,1098,0,0,0,0,0,1,1098.0000,low,asn-vpn-multi-provider
36849,1st Amendment Encrypted Openness LLC,US,0,1004,1,0,1004,0,0,0,0,1,1004.0000,low,tor-radar-network
16276,OVH,FR,0,823,3,148,621,0,0,0,54,3,823.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
11878,TZULO,US,0,704,2,599,105,0,0,0,0,2,704.0000,low,"asn-vpn-multi-provider,tor-radar-network"
25369,BANDWIDTH-AS,GB,0,666,2,665,0,0,0,0,1,2,666.0000,low,"asn-vpn-multi-provider,bad-cidrs-v4"
215125,Church of Cyberology,NL,0,630,1,0,630,0,0,0,0,1,630.0000,low,tor-radar-network
49453,GLOBALLAYER,NL,0,627,3,624,1,0,0,0,2,3,627.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
140952,"STL-AS-AP Strong Technology, LLC",US,0,562,1,562,0,0,0,0,0,1,562.0000,low,asn-vpn-multi-provider
174,COGENT-174,US,0,500,3,476,17,0,0,0,7,3,500.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
24940,HETZNER-AS,DE,0,468,3,70,382,0,0,0,16,3,468.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
14061,DIGITALOCEAN-ASN,US,0,467,3,189,154,0,0,0,124,3,467.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
22781,STRTEC,US,0,408,1,408,0,0,0,0,0,1,408.0000,low,asn-vpn-multi-provider
197540,NETCUP-AS netcup GmbH,DE,0,342,3,25,315,0,0,0,2,3,342.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
60729,Stiftung Erneuerbare Freiheit,DE,0,322,1,0,322,0,0,0,0,1,322.0000,low,tor-radar-network
21859,ZEN-ECN,US,0,302,3,295,3,0,0,0,4,3,302.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
36352,AS-COLOCROSSING,US,0,298,3,168,126,0,0,0,4,3,298.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
8560,IONOS SE,FR,0,292,2,0,285,0,0,0,7,2,292.0000,low,"bad-cidrs-v4,tor-radar-network"
53667,PONYNET,US,0,283,3,97,183,0,0,0,3,3,283.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
39287,ABSTRACT,RO,0,251,2,244,7,0,0,0,0,2,251.0000,low,"asn-vpn-multi-provider,tor-radar-network"
32489,AMANAHA-NEW,CA,0,234,2,233,1,0,0,0,0,2,234.0000,low,"asn-vpn-multi-provider,tor-radar-network"
396356,LATITUDE-SH,US,0,222,1,222,0,0,0,0,0,1,222.0000,low,asn-vpn-multi-provider
210558,1337 Services GmbH,PL,0,217,3,0,214,0,1,0,2,3,217.0000,medium,"bad-cidrs-v4,spamhaus-asndrop,tor-radar-network"
20473,AS-VULTR,US,0,214,2,140,74,0,0,0,0,2,214.0000,low,"asn-vpn-multi-provider,tor-radar-network"
42708,GLESYS glesys.com,SE,0,199,3,186,10,0,0,0,3,3,199.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
203020,HOSTROYALE,IN,0,196,3,192,3,0,0,0,1,3,196.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
12876,Online SAS,FR,0,194,3,101,86,0,0,0,7,3,194.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
136258,"ONEPROVIDER-AS BrainStorm Network, Inc",CA,0,191,2,175,16,0,0,0,0,2,191.0000,low,"asn-vpn-multi-provider,tor-radar-network"
63949,AKAMAI-LINODE-AP Akamai Connected Cloud,US,0,188,2,83,105,0,0,0,0,2,188.0000,low,"asn-vpn-multi-provider,tor-radar-network"
46844,SHARKTECH,US,0,177,3,170,1,0,0,0,6,3,177.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
31898,Oracle Corporation,US,0,175,2,0,159,0,0,0,16,2,175.0000,low,"bad-cidrs-v4,tor-radar-network"
136557,HOST-AS-AP Host Universal Pty Ltd,AU,0,170,1,170,0,0,0,0,0,1,170.0000,low,asn-vpn-multi-provider
214503,QuxLabs AB,SE,0,156,1,0,156,0,0,0,0,1,156.0000,low,tor-radar-network
208323,Foundation for Applied Privacy,AT,0,152,1,0,152,0,0,0,0,1,152.0000,low,tor-radar-network
198093,Foreningen for digitala fri- och rattigheter,SE,0,149,1,0,149,0,0,0,0,1,149.0000,low,tor-radar-network
27284,FOURPLEX-ASN,US,0,146,2,29,117,0,0,0,0,2,146.0000,low,"asn-vpn-multi-provider,tor-radar-network"
206804,ESTNOC-GLOBAL,EE,0,143,2,136,7,0,0,0,0,2,143.0000,low,"asn-vpn-multi-provider,tor-radar-network"
13213,UK2NET-AS,GB,0,140,2,137,3,0,0,0,0,2,140.0000,low,"asn-vpn-multi-provider,tor-radar-network"
42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",GB,0,140,3,138,1,0,0,0,1,3,140.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
51167,Contabo GmbH,DE,0,134,2,0,98,0,0,0,36,2,134.0000,low,"bad-cidrs-v4,tor-radar-network"
54203,NETPROTECT-SP,US,0,126,1,126,0,0,0,0,0,1,126.0000,low,asn-vpn-multi-provider
3598,Microsoft Corporation,US,0,124,1,0,0,0,0,0,124,1,124.0000,low,bad-cidrs-v4
12076,Microsoft Corporation,US,0,124,1,0,0,0,0,0,124,1,124.0000,low,bad-cidrs-v4
262287,Latitude.sh LTDA,BR,0,123,2,121,2,0,0,0,0,2,123.0000,low,"asn-vpn-multi-provider,tor-radar-network"
401401,Unredacted Inc,US,0,123,1,0,123,0,0,0,0,1,123.0000,low,tor-radar-network
209847,THE,MD,0,121,3,101,19,0,1,0,0,3,121.0000,medium,"asn-vpn-multi-provider,spamhaus-asndrop,tor-radar-network"
43350,NFORCE,NL,0,120,2,107,13,0,0,0,0,2,120.0000,low,"asn-vpn-multi-provider,tor-radar-network"
3223,VOXILITY,GB,0,119,3,114,4,0,0,0,1,3,119.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
56655,GIGAHOST,NO,0,117,2,33,84,0,0,0,0,2,117.0000,low,"asn-vpn-multi-provider,tor-radar-network"
206092,SECFIREWALLAS,CY,0,116,1,116,0,0,0,0,0,1,116.0000,low,asn-vpn-multi-provider
51430,ALTUS,NL,0,112,1,112,0,0,0,0,0,1,112.0000,low,asn-vpn-multi-provider
200651,FLOKINET,IS,0,110,3,36,72,0,0,0,2,3,110.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
22363,PHMGMT-AS1,US,0,108,1,108,0,0,0,0,0,1,108.0000,low,asn-vpn-multi-provider
13737,AS-INCX,US,0,100,1,100,0,0,0,0,0,1,100.0000,low,asn-vpn-multi-provider
396507,Emerald Onion,US,0,99,2,0,97,0,0,0,2,2,99.0000,low,"bad-cidrs-v4,tor-radar-network"
43289,TRABIA,MD,0,98,2,87,11,0,0,0,0,2,98.0000,low,"asn-vpn-multi-provider,tor-radar-network"
51852,PLI-AS,PA,0,93,3,48,42,0,0,0,3,3,93.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
42675,OBEHOSTING Obehosting AB,SE,0,90,2,81,9,0,0,0,0,2,90.0000,low,"asn-vpn-multi-provider,tor-radar-network"
62744,QUINTEX,US,0,90,2,89,1,0,0,0,0,2,90.0000,low,"asn-vpn-multi-provider,tor-radar-network"
40676,AS40676 - Psychz Networks,US,0,87,3,76,9,0,0,0,2,3,87.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
55286,SERVER-MANIA,CA,0,84,3,80,3,0,0,0,1,3,84.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
3320,Deutsche Telekom AG,DE,0,82,2,0,79,0,0,0,3,2,82.0000,low,"bad-cidrs-v4,tor-radar-network"
51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,FI,0,80,2,67,13,0,0,0,0,2,80.0000,low,"asn-vpn-multi-provider,tor-radar-network"
60404,LITESERVER,NL,0,80,2,30,50,0,0,0,0,2,80.0000,low,"asn-vpn-multi-provider,tor-radar-network"
60781,LEASEWEB-NL-AMS-01 Netherlands,NL,0,76,2,53,23,0,0,0,0,2,76.0000,low,"asn-vpn-multi-provider,tor-radar-network"
6206,NETROUTING-AS,NL,0,73,2,71,2,0,0,0,0,2,73.0000,low,"asn-vpn-multi-provider,tor-radar-network"
13926,NETPROTECT-PHX,US,0,72,1,72,0,0,0,0,0,1,72.0000,low,asn-vpn-multi-provider
8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,0,71,3,2,7,0,0,0,62,3,71.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
49981,WORLDSTREAM,NL,0,70,3,53,16,0,0,0,1,3,70.0000,medium,"asn-vpn-multi-provider,bad-cidrs-v4,tor-radar-network"
41564,AS41564,GB,0,69,1,69,0,0,0,0,0,1,69.0000,low,asn-vpn-multi-provider
63023,AS-GLOBALTELEHOST,US,0,67,2,46,21,0,0,0,0,2,67.0000,low,"asn-vpn-multi-provider,tor-radar-network"
20860,IOMART-AS,GB,0,65,2,48,17,0,0,0,0,2,65.0000,low,"asn-vpn-multi-provider,tor-radar-network"
63473,HOSTHATCH,US,0,65,2,52,13,0,0,0,0,2,65.0000,low,"asn-vpn-multi-provider,tor-radar-network"
35758,HQSERV_NETWORKS,IL,0,64,2,62,2,0,0,0,0,2,64.0000,low,"asn-vpn-multi-provider,tor-radar-network"
5761,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
6182,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
6194,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
6291,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
6584,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
8069,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
8070,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
8071,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
8072,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
8073,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
8074,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
13399,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
13811,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
14719,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
14783,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
17144,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
17345,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
20046,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
22692,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
23468,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
25796,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
26222,Microsoft Corporation,US,0,62,1,0,0,0,0,0,62,1,62.0000,low,bad-cidrs-v4
